danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,pop,rock,metal,folk,indie,dance,alternative,mellow,rap,neo,punk,teen,grunge,wave,Angry,Sad,Relaxed,Happy
0.38,0.8,0.3636363636363637,-0.09693722791237458,1.0,0.0695,5.19e-05,0.735,0.321,0.574,138.714,1.7075473201516864,0.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.494,0.958,0.7272727272727273,0.8807850022503663,1.0,0.106,0.00027400000000000005,0.0,0.32299999999999995,0.8590000000000001,159.963,-0.532153536035809,0.75,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1.0,0.0,0.0,0.0
0.6559999999999999,0.978,0.7272727272727273,1.004631459508452,0.0,0.0736,0.000943,0.000153,0.229,0.6679999999999999,99.051,0.5395509169485391,0.75,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0
0.5489999999999999,0.99,0.2727272727272727,0.951695101038296,0.0,0.0752,3.78e-05,0.000837,0.343,0.493,124.075,-0.4900805473182762,0.75,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0
0.6709999999999999,0.755,0.09090909090909093,1.1779672565456138,0.0,0.268,0.0227,0.000529,0.107,0.387,81.85300000000002,0.9969665994706544,0.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
0.225,0.996,0.0,0.972130997563984,1.0,0.442,0.000155,0.13699999999999998,0.117,0.0502,193.028,1.4702464097103,0.75,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0
0.426,0.956,0.4545454545454545,1.0755415582963817,1.0,0.0781,0.00206,0.0,0.327,0.328,146.92,-0.4118505675112064,0.75,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0
0.6890000000000001,0.735,0.18181818181818185,0.9056527799503,1.0,0.267,0.00922,0.00072,0.365,0.059,171.403,1.3893889337500143,0.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
0.441,0.957,0.8181818181818182,0.4435060597247989,1.0,0.239,0.00645,0.121,0.241,0.348,168.107,0.5990413958892766,0.75,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.6890000000000001,0.7609999999999999,1.0,1.1420197759100659,0.0,0.188,0.0357,0.0,0.0718,0.272,96.065,1.399965018895034,0.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
0.539,0.828,0.3636363636363637,-0.21782909772096276,0.0,0.035,0.00067,0.421,0.154,0.562,105.25,4.607823844443916,0.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.667,0.669,1.0,0.4001721104655087,0.0,0.0307,0.133,3.96e-05,0.116,0.0921,115.962,0.4291630282473927,0.75,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1.0,0.0,0.0,0.0
0.506,0.899,0.3636363636363637,0.470835993632647,1.0,0.138,0.0007559999999999999,0.0,0.0646,0.8170000000000001,168.37599999999995,-1.1004032858511263,0.75,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1.0,0.0,0.0,0.0
0.591,0.398,0.8181818181818182,-1.05643950213655,1.0,0.145,0.8440000000000001,0.0008289999999999999,0.0613,0.544,89.854,0.21169227745291871,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.289,0.938,0.09090909090909093,0.5269731551730916,1.0,0.163,0.000116,0.0615,0.106,0.349,173.882,-0.8049339071121298,0.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.6759999999999999,0.807,0.4545454545454545,0.7613704261665261,1.0,0.029,0.0284,0.0,0.0701,0.443,95.956,-0.0665909629254203,0.75,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1.0,0.0,0.0,0.0
0.462,0.7190000000000001,0.3636363636363637,0.7667871698239375,0.0,0.251,0.0136,0.0,0.224,0.4270000000000001,81.66,1.12961384237546,0.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
0.435,0.95,0.18181818181818185,0.8559172245504326,1.0,0.0942,0.000103,0.0,0.321,0.583,159.963,-0.32438303833528304,0.75,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0
0.526,0.882,0.8181818181818182,1.0383629995568768,1.0,0.0509,0.0014,0.0,0.14400000000000002,0.424,144.982,-0.4140649353384449,0.75,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1.0,0.0,0.0,0.0
0.514,0.91,0.6363636363636364,1.2914726577304598,0.0,0.0714,0.00168,0.00187,0.224,0.472,145.907,-0.31821916371170106,0.75,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1.0,0.0,0.0,0.0
0.5479999999999999,0.926,1.0,0.5555341671848963,1.0,0.0907,0.00237,0.163,0.7120000000000001,0.294,97.55,0.8760026256244878,0.75,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0
0.5579999999999999,0.364,0.3636363636363637,-0.7471926824225222,0.0,0.0265,0.0505,5.02e-06,0.0753,0.17,142.171,2.514849644510534,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.7829999999999999,0.608,0.0,0.6109326818629665,0.0,0.361,0.0574,0.0,0.102,0.429,91.672,0.5307430210387021,0.75,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
0.7170000000000001,0.797,0.8181818181818182,0.6266904815936177,0.0,0.0294,0.000743,0.00283,0.106,0.961,112.129,0.4386319294787934,0.75,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0
0.48,0.923,1.0,-0.14027117717166462,0.0,0.0682,0.000211,0.531,0.106,0.44,96.535,1.252775658915826,0.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.598,0.86,0.3636363636363637,0.8948192926354774,1.0,0.0658,0.0032700000000000003,0.0,0.239,0.28300000000000003,110.745,0.4569252517530702,0.75,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0
0.585,0.857,0.8181818181818182,0.897527664464183,1.0,0.0633,0.0385,2.79e-05,0.0274,0.545,142.014,-0.4244096686209176,0.75,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1.0,0.0,0.0,0.0
0.5920000000000001,0.55,0.18181818181818185,-0.21512072589225767,0.0,0.0284,0.8,0.00364,0.114,0.573,133.952,-0.028467481004230983,0.75,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0
0.374,0.8,0.3636363636363637,-0.00337529201163366,1.0,0.0362,0.0007769999999999999,0.135,0.14300000000000002,0.18,159.805,1.5420811630312403,0.75,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0
0.445,0.885,0.18181818181818185,1.1691034941971226,0.0,0.236,0.0294,0.0,0.6729999999999999,0.504,105.533,0.6788082130689822,0.75,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0
0.6679999999999999,0.861,0.6363636363636364,1.5248850662407292,1.0,0.0312,0.16,0.0,0.102,0.8290000000000001,105.587,-1.0490596974986621,0.75,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0
0.31,0.912,0.09090909090909093,0.3524062800319724,1.0,0.0657,0.0401,0.0213,0.309,0.155,76.266,-1.544813688671475,0.75,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.458,0.926,0.8181818181818182,0.5171245303414347,1.0,0.0575,3.09e-05,1.27e-05,0.67,0.172,127.002,-0.6055251267293853,0.75,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0
0.569,0.7879999999999999,0.3636363636363637,-0.08265672190647165,1.0,0.031,5.62e-06,0.635,0.0811,0.913,115.151,-0.02407179561583204,0.75,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1.0,0.0,0.0,0.0
0.722,0.901,1.0,1.1235536043507093,0.0,0.105,0.112,0.0,0.0674,0.963,143.401,-0.7912676220887992,0.75,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1.0,0.0,0.0,0.0
0.5720000000000001,0.853,0.09090909090909093,1.2360741430523896,1.0,0.217,0.0757,0.0,0.0798,0.102,171.297,1.0137065592392565,0.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
0.475,0.691,1.0,0.3110420557390135,1.0,0.0326,0.348,0.0118,0.107,0.34700000000000003,83.48299999999998,0.4331290601767752,0.75,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1.0,0.0,0.0,0.0
0.64,0.931,0.5454545454545454,0.8389283467158244,0.0,0.201,0.221,0.0,0.0577,0.762,97.938,-0.2327181253674299,0.75,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
0.519,0.833,0.5454545454545454,0.31424285880930203,0.0,0.0496,0.00572,4.33e-06,0.104,0.532,138.225,1.215098355586692,0.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.54,0.873,0.4545454545454545,0.7303472579468067,1.0,0.0406,0.00011,0.00441,0.205,0.375,105.878,0.37715843457336456,0.75,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0
0.289,0.865,0.6363636363636364,0.9593277852828302,1.0,0.0577,0.28800000000000003,0.134,0.122,0.597,174.275,0.42762619087475695,0.75,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0
0.419,0.916,0.09090909090909093,-0.036860616439267,1.0,0.0604,9.2e-06,0.194,0.0751,0.496,128.98,-1.0122747513536392,0.75,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1.0,0.0,0.0,0.0
0.51,0.8809999999999999,0.4545454545454545,1.1092730983448067,0.0,0.0332,0.00839,0.0,0.122,0.385,100.002,-0.7419235748340652,0.75,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0
0.502,0.968,1.0,1.1242922512130835,1.0,0.138,1.92e-05,0.00295,0.392,0.512,126.016,-0.7668104251909404,0.75,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0
0.701,0.931,0.7272727272727273,1.792029014799423,0.0,0.243,0.239,0.0,0.194,0.362,79.99600000000002,0.08324241834004288,0.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
0.58,0.959,0.09090909090909093,0.6473725937400975,1.0,0.0494,0.00126,0.233,0.131,0.8170000000000001,91.421,-0.2712877858806748,0.75,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0
0.773,0.8109999999999999,0.09090909090909093,2.1468257243598634,1.0,0.0882,0.304,0.0,0.174,0.774,81.03699999999998,1.4673875616945369,0.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
0.544,0.942,0.8181818181818182,0.8652734181405067,1.0,0.102,0.000193,9.87e-05,0.13699999999999998,0.507,115.072,-0.5478028370238308,0.75,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1.0,0.0,0.0,0.0
0.5660000000000001,0.978,0.18181818181818185,0.9905971691233408,1.0,0.068,0.0168,1.42e-05,0.303,0.376,113.224,-0.5387635892514465,0.75,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0
0.677,0.755,0.0,0.1364751805978947,0.0,0.0426,0.000991,0.229,0.196,0.403,110.025,0.5692961564189079,0.5,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0
0.314,0.991,0.4545454545454545,1.0725869708468847,0.0,0.318,0.000155,0.0477,0.0968,0.0395,138.975,1.0242826443842763,0.75,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.447,0.722,0.6363636363636364,1.0383629995568768,1.0,0.0454,0.0076700000000000015,0.0774,0.26,0.17600000000000002,114.296,0.5648839458974698,0.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
0.6679999999999999,0.8859999999999999,0.0,1.169349709817914,1.0,0.117,0.0417,0.0,0.459,0.503,142.002,0.6955481728375842,0.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
0.507,0.753,0.4545454545454545,0.7172978300448615,0.0,0.19,0.503,0.0,0.573,0.657,178.06799999999996,1.4488794126907516,0.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
0.5429999999999999,0.855,0.5454545454545454,0.5823716698511617,0.0,0.0716,0.000333,0.00227,0.107,0.238,120.082,0.6294476406812091,0.75,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.332,0.765,0.8181818181818182,-0.00682231070271342,1.0,0.0283,0.00144,0.000782,0.0463,0.69,168.361,1.1888729694536504,0.75,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1.0,0.0,0.0,0.0
0.249,0.949,0.18181818181818185,1.374201106316378,0.0,0.0678,0.00131,0.0228,0.0953,0.498,185.252,3.3807666157590472,0.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.778,0.769,0.5454545454545454,0.9583429227996644,0.0,0.248,0.0369,4.03e-06,0.5479999999999999,0.484,80.044,2.7689070398535622,0.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0
